EGID,BAUJ,BAUJK,FLAE,GES,GKAT,n_eingange,GDEKT,GDENAME,GDENR,STRNAME,DEINR,PLZ4,PLZNAME,Latitude,Longitude,CH_BEZ_D,BAUJK_qual,FLAE_qual,GES_qual,EBF,Nutzung,HGT,co2_m2,co2,kwh_m2,kwh
1,1984,1981-1985,122,2,Gebäude mit teilweiser Wohnnutzung,2,ZH,Affoltern am Albis,2,Grossholzerstrasse,20,8910,Affoltern am Albis,47.26912,8.449096,ausserhalb Bauzonen,1,0,1,97.60000000000001,Rest,3112,24.11903142965101,2354.0174675339385,107.27098672832796,10469.64830468481
"4,1978,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Im Feld,3,8910,Affoltern am Albis,47.27028,8.449724,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"6,1978,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Im Feld,5,8910,Affoltern am Albis,47.27028,8.449391,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"7,1978,1971-1980,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Im Feld,6,8910,Affoltern am Albis,47.27062,8.44942,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.33365336176192,5530.729136215928,126.21781639132138,24637.717759585936"
"8,1978,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Im Feld,7,8910,Affoltern am Albis,47.27028,8.449037,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
9,1977,1971-1980,122,3,Gebäude mit teilweiser Wohnnutzung,1,ZH,Affoltern am Albis,2,Im Feld,8,8910,Affoltern am Albis,47.27062,8.449168,Wohnzonen,1,0,1,195.20000000000002,Rest,3112,24.603972868161957,4802.695503865214,115.31565001442432,22509.61488281563
"11,1978,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Im Feld,10,8910,Affoltern am Albis,47.27062,8.448923,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"14,1978,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Im Feld,14,8910,Affoltern am Albis,47.27063,8.44842,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"15,1984,1981-1985,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",4,ZH,Affoltern am Albis,2,Im Feld,16,8910,Affoltern am Albis,47.27056,8.448126,Mischzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"20,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Loorenfeldstrasse,9,8910,Affoltern am Albis,47.27085,8.448554,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"22,1982,1981-1985,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",6,ZH,Affoltern am Albis,2,Loorenfeldstrasse,12,8910,Affoltern am Albis,47.27119,8.448418,Mischzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"25,1944,1919-1945,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Grossholzerstrasse,19,8910,Affoltern am Albis,47.27031,8.450422,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.95907094303204,3412.0053240399275,148.10584429211943,14455.130402910858"
"26,1944,1919-1945,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Ringstrasse,1,8910,Affoltern am Albis,47.2706,8.450585,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.95907094303204,3412.0053240399275,148.10584429211943,14455.130402910858"
"27,1944,1919-1945,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Ringstrasse,2,8910,Affoltern am Albis,47.2703,8.450723,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,32.136818025385594,6273.106878555269,139.788692057025,27286.752689531284"
"28,1944,1919-1945,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Ringstrasse,3,8910,Affoltern am Albis,47.2706,8.450926,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.95907094303204,3412.0053240399275,148.10584429211943,14455.130402910858"
"29,1944,1919-1945,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Ringstrasse,4,8910,Affoltern am Albis,47.2703,8.451111,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.95907094303204,3412.0053240399275,148.10584429211943,14455.130402910858"
"41,1944,1919-1945,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Loorenstrasse,4,8910,Affoltern am Albis,47.27086,8.450888,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.95907094303204,3412.0053240399275,148.10584429211943,14455.130402910858"
